,bus_stop_code,road_name,latitude,longitude,stop_description
4084,74031,Tampines Rd,1.3675347007791299,103.92648611289408,Aft Jln Sam Kong Si
4085,74039,Tampines Rd,1.36735308717402,103.92618181390851,Bef Jln Sam Kong Si
4086,74041,Tampines Link,1.36850444400102,103.92978611099927,Opp Golden Pagoda Tp
4087,74049,Tampines Link,1.36851139242556,103.93012376046164,Golden Pagoda Tp
4088,75009,Tampines Ctrl 1,1.35407552367477,103.94339098473912,Tampines Int
4089,75019,Tampines Concourse,1.35737133106172,103.9416488042812,Tampines Concourse Int
4090,75021,Tampines Street 86,1.3516844518211397,103.92851745350569,BLK 879B
4091,75031,Tampines Ave 8,1.35080696753697,103.92946243284945,Opp Springfield Sec Sch
4092,75039,Tampines Ave 8,1.3506577199911,103.92956819494434,Springfield Sec Sch
4093,75051,Tampines Ave 1,1.3450339415413202,103.9400815317342,TAMPINES WEST STN EXIT B
4094,75059,Tampines Ave 1,1.3447116854651102,103.94021689282829,BEF TAMPINES WEST STN
4095,75061,Bedok Reservoir Rd,1.3407139176074498,103.9364683628148,Opp Bedok Reform Trg Ctr
4096,75069,Bedok Reservoir Rd,1.34066333296943,103.9366999999988,Bedok Reform Trg Ctr
4097,75071,Tampines Ave 3,1.3489330347747401,103.93654250213598,Opp Blk 819
4098,75079,Tampines Ave 3,1.34858249441921,103.9370121634589,Blk 819
4099,75081,Tampines Ave 3,1.34986941891093,103.93426738811777,Blk 831
4100,75089,Tampines Ave 3,1.34977145890473,103.93404731779178,Blk 827
4101,75099,Tampines St 81,1.34810640028821,103.93423427925954,Blk 897
4102,75101,Tampines Ave 3,1.3510996841346201,103.93150144928326,Blk 880
4103,75109,Tampines Ave 3,1.35115140327554,103.93102423699943,Blk 888
4104,75111,Tampines St 84,1.35304499998303,103.93201333297846,Blk 874A
4105,75121,Tampines Ave 5,1.3559339205898602,103.93903255460285,Opp Darul Ghufran Mque
4106,75129,Tampines Ave 5,1.35563642049496,103.9393652171196,Darul Ghufran Mque
4107,75131,Tampines Ave 5,1.35594818346107,103.93709646027763,Bet Blks 701/702
4108,75139,Tampines Ave 5,1.35563964372785,103.93612503756641,Blk 863
4109,75141,Tampines Ave 5,1.35625000000112,103.93377888890949,Blk 730
4110,75149,Tampines Ave 5,1.35597194444127,103.93366388890492,Blk 867A
4111,75151,Tampines Ave 8,1.35451781224143,103.93145206236656,Opp Blk 871A
4112,75159,Tampines Ave 8,1.3540511520672398,103.93146643451306,Blk 874
4113,75161,Tampines St 83,1.3532499714330302,103.93456070784657,Blk 855
4114,75169,Tampines St 83,1.35327639994383,103.93440612457628,Opp Blk 853
4115,75171,Tampines Ave 7,1.3575,103.9313,Aft Tampines Ave 9
4116,75179,Tampines Ave 7,1.357,103.9317,Bef Tampines Ave 9
4117,75201,Tampines St 83,1.3507850099230099,103.93353377368993,Blk 835
4118,75209,Tampines St 83,1.3514500000017802,103.93361000002287,Blk 882A
4119,75219,Tampines St 81,1.34971138040971,103.93215673184922,Blk 889
4120,75221,Tampines Ave 1,1.34567355960876,103.93595044893452,Opp Temasek Poly East G
4121,75229,Tampines Ave 1,1.34499782605889,103.93676608938836,Temasek Poly East G
4122,75231,Tampines Ave 1,1.34707779444929,103.93265533979496,Opp Temasek Poly
4123,75239,Tampines Ave 1,1.34675259898315,103.9325765583272,Temasek Poly
4124,75241,Tampines Ave 1,1.34844803009871,103.92980219657612,Opp Temasek Poly West G
4125,75249,Tampines Ave 1,1.34791499671757,103.93017010145029,Temasek Poly West G
4126,75251,Tampines Ave 1,1.3494983330038,103.92783361101395,Opp Tropica Condo
4127,75259,Tampines Ave 1,1.34913805600656,103.9279802780185,Tropica Condo
4128,75261,Tampines Ave 6,1.35801998380195,103.93796778680796,Bet Blks 710/713
4129,75269,Tampines Ave 6,1.35917286418935,103.93814214622792,Opp Blks 710/713
4130,75271,Tampines Ave 9,1.36024833439953,103.93601495043112,Blk 721
4131,75279,Tampines Ave 9,1.3604749400553,103.93620400344062,Opp Blk 721
4132,75281,Tampines Ave 9,1.36022789260467,103.93363809095122,Blk 742A
4133,75289,Tampines Ave 9,1.3604566720231202,103.93331674675824,Opp Blks 741/742
4134,75291,Tampines Ave 10,1.36149182194897,103.93076720725306,Aft Tampines Ave 9
4135,75299,Tampines Ave 10,1.36239101738996,103.93106617032824,Bef Tampines Ave 9
4136,75311,Tampines Ave 10,1.36707803417357,103.93078207971784,Tampines Dormitory
4137,75319,Tampines Ave 10,1.3672080555600101,103.93106194445039,Opp Tampines Dormitory
4138,75329,Tampines St 71,1.35775471736024,103.93627195175705,Poi Ching Pr Sch
4139,75339,Tampines St 71,1.35846309875614,103.93415212517195,Blk 734
4140,75341,Bedok Reservoir Rd,1.33832204097015,103.933861255669,Opp The Clearwater Condo
4141,75349,Bedok Reservoir Rd,1.33811824869625,103.93395781514981,The Clearwater Condo
4142,75351,Tampines Ave 10,1.37364163782281,103.93077504302,Bef TPE
4143,75359,Tampines Ave 10,1.3743865002245501,103.93147946559002,Aft TPE
4144,75361,Tampines Ave 10,1.3706441545827999,103.93030234430374,Bef Tampines Ind Ave 5
4145,75369,Tampines Ave 10,1.37079630405212,103.93056528604264,Opp HNS Micro Siltronic
4146,75371,Tampines Ave 10,1.35909826524265,103.93052373888253,Aft Tampines Ave 5
4147,75379,Tampines Ave 10,1.3594300230695302,103.9309897702735,Bef Tampines Ave 5
4148,75381,Tampines Ind Ave 5,1.3731888890000001,103.9266,T5@TAMPINES
4149,75391,Tampines Ind Ave 5,1.37507,103.9213,OPP SILTRONIC
4150,75401,Tampines Ave 10,1.3517582770335002,103.92671414169044,AFT TAMPINES AVE 1
4151,75409,Tampines Ave 10,1.35220181029011,103.92724068972522,THE SANTORINI
4152,75411,Tampines Ave 10,1.35607656836954,103.92905500001905,BEF TAMPINES FIRE STN
4153,75419,Tampines Ave 10,1.3557583154791901,103.92918587034407,AFT TAMPINES AVE 5
4154,75461,Tampines Avenue 11,1.3659135426684499,103.93360116833266,Reebonz Bldg
4155,75469,Tampines Avenue 11,1.3662688889108898,103.93315812393162,Opp Reebonz Bldg
4156,75471,Tampines Ave 6,1.3615980559999998,103.93794079999999,Blk 602B
4157,75479,Tampines Ave 6,1.361776111,103.93818890000001,Blk 619A
4158,75481,Tampines Ave 6,1.3508075000000002,103.87328670000001,Blk 609D
4159,75489,Tampines Ave 6,1.363941111,103.93816890000001,Opp Blk 609D
4160,76031,Tampines Ave 2,1.35507956918888,103.95529781026742,TAMPINES EAST STN EXIT B
4161,76039,Tampines Ave 2,1.35506418976437,103.95554981026442,TAMPINES EAST STN EXIT C
4162,76041,Tampines St 82,1.3512217846177301,103.93650690002208,BLK 842C
4163,76049,Tampines St 82,1.3511825234573898,103.93633200959248,OPP BLK 842C
4164,76051,Tampines Ave 5,1.35313809279079,103.9412639409046,Our Tampines Hub
4165,76059,Tampines Ave 5,1.35296163572491,103.94165154852794,Opp Our Tampines Hub
4166,76061,Tampines Ave 5,1.3482019444416002,103.94189805552269,Blk 938
4167,76069,Tampines Ave 5,1.34875342114003,103.94208629087404,Blk 147
4168,76071,Tampines Ave 2,1.34802638899143,103.94517805600674,Blk 141
4169,76079,Tampines Ave 2,1.34794388891649,103.94563500000055,Blk 101
4170,76081,Tampines Ave 2,1.34950194446778,103.94932305553937,Opp The Holy Trinity Ch
4171,76089,Tampines Ave 2,1.3491680555371397,103.94923388889872,The Holy Trinity Ch
4172,76091,Tampines Ave 2,1.35071636446812,103.95275166965992,Blk 206
